from,to,share
EP594,E100000140130,100.0
EP595,E100000140130,100.0
EP596,E100000123155,100.0
EP597,E100000123155,100.0
EP598,E100000003625,100.0
EP599,E100000003625,100.0
EP600,E100000120905,100.0
EP601,E100000156406,100.0
EP602,E100000156406,100.0
EP603,E100000000921,100.0
EP604,E100000000921,100.0
EP605,E100000000921,100.0
EP606,E100000000921,100.0
EP607,E100000000921,100.0
EP608,E100000000921,100.0
EP609,E100000000921,100.0
EP610,E100000000921,100.0
EP611,E100000000921,100.0
EP612,E100000001942,100.0
EP613,E100000002647,100.0
EP614,E100000003709,100.0
EP615,E100000002446,100.0
EP616,E100000004059,100.0
EP617,E100000004059,100.0
EP618,E100000002384,100.0
EP619,E100000002384,100.0
EP620,E100000002385,100.0
EP621,E100000002385,100.0
EP622,E100000003919,100.0
EP623,E100000002448,100.0
EP624,E100000002293,100.0
EP625,E100000002293,100.0
EP626,E100000002293,100.0
EP627,E100000002293,100.0
EP628,E100000002293,100.0
EP629,E100000002293,100.0
EP630,E100000001926,100.0
EP631,E100000002260,100.0
EP632,E100001010440,100.0
EP633,E100000003840,100.0
EP634,E100000003840,100.0
EP635,E100000000330,100.0
EP636,E100000002347,100.0
EP637,E100000000330,100.0
EP638,E100000000330,100.0
EP639,E100000000330,100.0
EP640,E100000000330,100.0
EP641,E100000001780,100.0
EP642,E100000003065,100.0
EP643,E100000003065,100.0
EP644,E100000002436,100.0
EP645,E100000002175,100.0
EP646,E100000002922,100.0
EP647,E100000002922,100.0
EP648,E100000002922,100.0
EP649,E100000002922,100.0
EP650,E100000138403,100.0
EP650,E100000002277,100.0
EP651,E100000003961,100.0
EP652,E100001010472,100.0
EP653,E100000004069,100.0
EP654,E100000002664,100.0
EP655,E100000002664,100.0
EP656,E100000002664,100.0
EP657,E100000121194,100.0
EP658,E100000003942,100.0
EP659,E100000000890,100.0
EP660,E100000000890,100.0
EP661,E100000000890,100.0
EP662,E100000000890,100.0
EP663,E100000004389,81.0
EP663,E100000000084,18.0
EP664,E100001000649,100.0
EP665,E100001011928,100.0
EP666,E100001011928,100.0
EP667,E100001011927,100.0
EP668,E100000003734,100.0
EP669,E100000003288,100.0
EP670,E100000003288,100.0
EP671,E100000003288,100.0
EP672,E100000001953,100.0
EP673,E100000001961,100.0
EP674,E100000001961,100.0
EP675,E100000001961,100.0
EP676,E100000001765,100.0
EP677,E100001011248,
EP678,E100001011248,
EP679,E100001011248,
EP680,E100001011248,
EP681,E100001011248,
EP682,E100001011248,
EP683,E100001011248,
EP684,E100001011248,
EP685,E100001011248,
EP686,E100001011248,
EP687,E100001011248,
EP688,E100000001859,100.0
EP689,E100000001859,100.0
EP690,E100000001859,100.0
EP691,E100000150164,100.0
EP691,E100000003313,100.0
EP691,E100000135279,100.0
EP692,E100000002460,100.0
EP693,E100000002723,100.0
EP694,E100000000863,100.0
EP695,E100000000863,100.0
EP696,E100000000863,100.0
EP697,E100000000863,100.0
EP698,E100000000863,100.0
EP699,E100000000863,100.0
EP700,E100000120077,
EP701,E100000120077,
EP702,E100001000016,
EP703,E100001000016,
EP704,E100001000016,
EP705,E100000002463,100.0
EP706,E100000002465,100.0
EP707,E100000002465,100.0
EP708,E100000002465,100.0
EP709,E100000002465,100.0
EP710,,
EP711,,
EP712,E100001000205,
EP713,E100000000010,100.0
EP714,E100000000010,100.0
EP715,E100000000010,100.0
EP716,E100000001102,100.0
EP717,E100000001102,100.0
EP718,E100000004084,100.0
EP719,E100000002467,100.0
EP720,E100000002467,100.0
EP721,E100000002226,100.0
EP722,E100000003018,
EP723,E100000003018,
EP724,E100000000537,100.0
EP724,E100000185999,100.0
EP725,E100000000537,100.0
EP725,E100000185999,100.0
EP726,E100001011840,
EP727,E100000002230,100.0
EP728,E100000002230,100.0
EP729,E100000002230,100.0
EP730,E100000002230,100.0
EP731,E100000001954,100.0
EP732,E100000001954,100.0
EP733,E100000001954,100.0
EP734,E100000001958,100.0
EP735,E100000001958,100.0
EP736,E100000001958,100.0
EP737,E100000001958,100.0
EP738,E100000001958,100.0
EP739,E100000002109,100.0
EP740,,
EP741,,
EP742,E100001011977,33.0
EP742,E100001011827,33.0
EP742,E100001011763,34.0
EP743,E100000002893,100.0
EP744,E100001011977,33.0
EP744,E100001011827,33.0
EP744,E100001011763,34.0
EP745,E100000003791,100.0
EP746,E100000003791,100.0
EP747,E100000002842,100.0
EP748,E100000002842,100.0
EP749,E100000002842,100.0
EP750,E100000002842,100.0
EP751,E100000002138,100.0
EP752,E100000002138,100.0
EP753,E100000002800,100.0
EP754,E100000002470,100.0
EP755,E100000002470,100.0
EP756,E100000002470,100.0
EP757,E100000002470,100.0
EP758,E100000002470,100.0
EP759,E100000002470,100.0
EP760,E100000002470,100.0
EP761,E100000002470,100.0
EP762,E100000002470,100.0
EP763,E100000002470,100.0
EP764,E100000002470,100.0
EP765,E100000002470,100.0
EP766,E100000004274,100.0
EP767,E100000004274,100.0
EP768,E100000002471,100.0
EP769,E100000000890,100.0
EP770,E100000000890,100.0
EP771,E100000000890,100.0
EP772,E100000000890,100.0
EP773,E100000000890,100.0
EP774,E100000000890,100.0
EP775,E100000000890,100.0
EP776,E100000001829,
EP777,E100000000968,100.0
EP778,E100000000473,
EP779,E100000134259,100.0
EP780,E100000134259,100.0
EP781,E100000134259,100.0
EP782,E100000000608,100.0
EP783,E100000000608,100.0
EP784,E100000001865,100.0
EP785,E100000001865,100.0
EP786,E100000001865,100.0
EP787,E100000001865,100.0
EP788,E100000002125,100.0
EP789,E100000001995,100.0
EP790,E100000001995,100.0
EP791,E100000001775,100.0
EP792,E100000002473,100.0
EP793,E100000002472,100.0
EP794,E100000002890,100.0
EP795,E100000002890,100.0
EP796,E100000002890,100.0
EP797,E100000003729,100.0
EP798,E100001011930,
EP799,E100000003455,100.0
EP800,E100000003455,100.0
EP801,E100000003455,100.0
EP802,E100000003455,100.0
EP803,E100000003455,100.0
EP804,E100000003455,100.0
EP805,E100000003455,100.0
EP806,E100000002936,100.0
EP807,E100000002936,100.0
EP808,E100000001859,100.0
EP809,E100000001859,100.0
EP810,E100000001859,100.0
EP811,E100000001859,100.0
EP812,E100000001859,100.0
EP813,E100000001859,100.0
EP814,E100000003025,100.0
EP815,E100000003640,100.0
EP816,E100000003640,100.0
EP817,E100000003640,100.0
EP818,E100000000476,
EP819,E100000000476,
EP820,E100000000476,
EP821,E100000001999,100.0
EP822,E100000004247,100.0
EP823,E100000001806,100.0
EP824,E100000120098,100.0
EP825,E100000120098,100.0
EP826,E100000120098,100.0
EP827,E100000120098,100.0
EP828,E100000002475,100.0
EP829,E100000002162,100.0
EP830,E100000002162,100.0
EP831,E100000131066,
EP832,E100000131066,
EP833,E100000131066,
EP834,E100000002476,100.0
EP835,E100000002476,100.0
EP836,E100000001533,100.0
EP837,E100000002989,100.0
EP838,E100001010441,100.0
EP839,E100001010441,100.0
EP840,E100000002477,100.0
EP841,E100000002477,100.0
EP842,,
EP843,E100000001996,100.0
EP844,E100000001996,100.0
EP845,E100000001996,100.0
EP846,E100000001996,100.0
EP847,E100000001996,100.0
EP848,E100000001996,100.0
EP849,E100000001996,100.0
EP850,E100001014093,
EP851,E100000004269,100.0
EP852,E100000004265,100.0
EP853,E100000004265,100.0
EP854,E100000004265,100.0
EP855,E100000004265,100.0
EP856,E100000004265,100.0
EP857,E100000004265,100.0
EP858,E100000004265,100.0
EP859,E100000004265,100.0
EP860,,
EP861,,
EP862,E100000003968,100.0
EP863,E100000001926,100.0
EP864,E100000003291,100.0
EP865,E100000004135,100.0
EP866,E100000004135,100.0
EP867,E100000002479,100.0
EP868,E100000002479,100.0
EP869,E100000002479,100.0
EP870,E100000002479,100.0
EP871,E100000002479,100.0
EP872,E100000002479,100.0
EP873,E100000002479,100.0
EP874,E100000002479,100.0
EP875,E100000002479,100.0
EP876,E100000002479,100.0
EP877,E100000002138,100.0
EP878,E100000002138,100.0
EP879,E100000000606,100.0
EP880,E100000002483,100.0
EP881,E100000002483,100.0
EP882,E100000002483,100.0
EP883,E100000002483,100.0
EP884,E100000003742,100.0
EP885,E100000003742,100.0
EP886,E100000003450,100.0
EP887,E100000003450,100.0
EP888,E100000003450,100.0
EP889,E100000003450,100.0
EP890,E100000003450,100.0
EP891,E100000003450,100.0
EP892,E100000000380,100.0
EP893,E100000004329,100.0
EP894,E100000004330,100.0
EP895,E100000004330,100.0
EP896,E100000004330,100.0
EP897,E100000001775,100.0
EP898,E100000001775,100.0
EP899,E100000001775,100.0
EP900,E100000001775,100.0
EP901,E100000001775,100.0
EP902,E100000001775,100.0
EP903,E100000001775,100.0
EP904,E100000001775,100.0
EP905,E100000002485,100.0
EP906,E100000002485,100.0
EP907,E100000002485,100.0
EP908,E100000002485,100.0
EP909,E100000002486,100.0
EP910,E100000002486,100.0
EP911,E100000002899,100.0
EP912,E100000000067,100.0
EP913,E100000000067,100.0
EP914,E100000000067,100.0
EP915,E100000002488,100.0
EP916,E100000002488,100.0
EP917,E100000002488,100.0
EP918,E100000003994,100.0
EP919,E100000003994,100.0
EP920,E100000002001,100.0
EP921,E100000002001,100.0
EP922,E100000002002,100.0
EP923,E100000002002,100.0
EP924,E100000002002,100.0
EP925,E100000002002,100.0
EP926,E100000002002,100.0
EP927,E100000002002,100.0
EP928,E100000002002,100.0
EP929,E100000002002,100.0
EP930,E100000002002,100.0
EP931,E100000002002,100.0
EP932,E100000002002,100.0
EP933,E100000002002,100.0
EP934,E100000002002,100.0
EP935,E100000002002,100.0
EP936,E100000002002,100.0
EP937,E100000002002,100.0
EP938,E100000002002,100.0
EP939,E100000134323,100.0
EP940,E100000134323,100.0
EP941,E100000002003,100.0
EP942,E100000002003,100.0
EP943,E100000002003,100.0
EP944,E100000001755,100.0
EP945,E100000001755,100.0
EP946,E100000001755,100.0
EP947,E100000001755,100.0
EP948,E100000000551,
EP949,E100000000551,100.0
EP950,E100000002098,100.0
EP951,E100000002098,100.0
EP952,E100000002098,100.0
EP953,E100000002098,100.0
EP954,E100000001289,100.0
EP955,E100000001289,100.0
EP956,E100000001289,100.0
EP957,E100000001289,100.0
EP958,E100000001289,100.0
EP959,E100000001289,100.0
EP960,E100000004086,65.0
EP960,E100000004172,35.0
EP961,E100000004086,65.0
