Name,gas capacity,coal plant capacity,bioenergy plant capacity,coal mine capacity,steel plant capacity,ID,Entity Type,Legal Entity Type,PubliclyListed,Country
Adarsh Advisory Services,0.0,0.0,0.0,18.92,0.0,E100001016430,legal entity,Pvt Ltd,False,India
Adecoagro,0.0,0.0,15000.0,0.0,0.0,E100001000152,legal entity,SA,True,Luxembourg
Adecoagro Vale do Ivinhema,0.0,0.0,15000.0,0.0,0.0,E100001000150,legal entity,SA,False,Brazil
Adhunik Gases,0.0,0.0,0.0,0.0,62320.619999999995,E100001016272,legal entity,Ltd,False,India
Adhunik Metaliks,0.0,15579.000000000002,0.0,28.850000000000005,0.0,E100001000387,legal entity,Ltd,False,India
Adhunik Power and Natural Resources,0.0,15579.000000000002,0.0,28.850000000000005,0.0,E100001000386,legal entity,Ltd,False,India
Aditya Birla Chemicals (India),0.0,199.2,0.0,0.0,0.0,E100000120158,legal entity,Ltd,False,India
Aditya Birla Management Corporation,190.40200000000002,51639.54339999999,0.0,1129.5589644,0.0,E100000120031,legal entity,Pvt Ltd,False,India
Administracion Nacional De Usinas y Trasmisiones Eléctricas,113200.0,0.0,0.0,0.0,0.0,E100000002346,legal entity,,False,Uruguay
Adonis,0.0,0.0,0.0,0.0,0.0,E100001012754,legal entity,LLC,,
Adularya Enerji,0.0,29000.0,0.0,0.0,0.0,E100000120032,legal entity,AŞ,False,Türkiye
Advance Agro Asia,11400.0,0.0,0.0,0.0,0.0,E100000002399,legal entity,,,
Advanced Power,252416.73972352,0.0,0.0,0.0,0.0,E100000000989,legal entity,AG,,Switzerland
Advocate,0.0,7800.0,0.0,0.0,0.0,E100000125888,legal entity,,,
Aerospace Science & Technology Finance,0.0,0.058529927609999984,0.0,0.0,0.0,E100000125407,legal entity,Co,,China
Affinity Coal,0.0,0.0,0.0,0.0,0.0,E100001012976,legal entity,Co,False,United States
Africa Finance Corporation,0.0,2016.0,0.0,10.08,0.0,E100000133893,legal entity,,,
Africa50,18693.533333333333,0.0,0.0,0.0,0.0,E100000000723,legal entity,,,Morocco
African Industries,0.0,0.0,0.0,0.0,100000.0,E100000131145,legal entity,Ltd,False,Nigeria
African Infrastructure Investment Managers,22.5,0.0,0.0,0.0,0.0,E100000133932,legal entity,Pty Ltd,False,South Africa
African Natural Resources & Mines,0.0,0.0,0.0,0.0,100000.0,E100000131098,legal entity,Ltd,False,Nigeria
African Rainbow Minerals,0.0,0.0,0.0,0.0,0.0,E100001000633,legal entity,Ltd,True,South Africa
Afrimat,0.0,0.0,0.0,0.0,0.0,E100000131228,legal entity,Ltd,True,South Africa
Afşİn Elbİstan Elektrİk Üretİm Ve Tİcaret,0.0,68000.0,0.0,0.0,0.0,E100000120033,legal entity,AŞ,False,Türkiye
Aga Khan Fund for Economic Development,16399.0,0.0,0.0,0.0,0.0,E100000000672,legal entity,,,Kenya
Agricultural Bank Financial Assets Investment,134835.68276621183,5565.0048448349335,212.3421048,0.0,7109.999999999999,E100000123940,legal entity,Co Ltd,,China
Agricultural Bank of China,134835.68276621183,5591.087492293342,212.3421048,0.0,7109.999999999999,E100000000151,legal entity,Ltd,True,China
Agricultural Bank of China Co Ltd Chongqing Nan'an Sub-branch,0.0,26.082647458409365,0.0,0.0,0.0,E100000128985,unknown entity,,,China
Agricultural Bank of China Co Ltd Chongqing Yuzhong Sub-branch,0.0,26.082647458409365,0.0,0.0,0.0,E100000128990,unknown entity,,,China
Agricultural Bank of China Investment,0.0,7100.0,0.0,0.0,0.0,E100000125819,,,,
Agricultural Development Bank of China,10632.02,74151.4447155688,234.77445000000006,0.0,0.0,E100000000152,legal entity,,,China
"Agricultural Development Service Corp of Gujing Town, Xinhui District, Jiangmen City",1799.2799999999997,0.0,0.0,0.0,0.0,E100000001372,legal entity,,,
Agritrade Resources,0.0,123000.0,0.0,0.0,0.0,E100000120034,legal entity,Ltd,False,Bermuda
Agro Energia Santa Luzia,0.0,0.0,13000.0,0.0,0.0,E100001000168,legal entity,SA,False,Brazil
Agroindustrial Santa Juliana,0.0,0.0,16.4033459772,0.0,0.0,E100000132511,legal entity,Ltda,False,Brazil
Agura Independent Power Project JV,156.81600000000003,0.0,0.0,0.0,0.0,E100000002402,legal entity,,,
Ahvaz Power Generation Management,185000.0,0.0,0.0,0.0,0.0,E100000002403,legal entity,Co,False,Iran
Ahya Steel Folad Baft,0.0,0.0,0.0,0.0,0.0,E100001012522,legal entity,Co,False,Iran
Aichi Steel,0.0,0.0,0.0,0.0,13.476385484639998,E100000130710,legal entity,Corp,True,Japan
Aim Capital,27288.868129232003,1559952.5241554247,0.0,2455.640048,0.0,E100001000753,legal entity,SE,False,Cyprus
Air Liquide,96814.0,0.0,0.0,0.0,0.0,E100000000375,legal entity,SA,True,France
Air Liquide Canada,8000.0,0.0,0.0,0.0,0.0,E100000002404,legal entity,Inc,,
Air Liquide Large Industries US,40400.0,0.0,0.0,0.0,0.0,E100000002405,legal entity,LP,,
Air Products Qudra,59.729670000000006,0.0,0.0,0.0,0.0,E100000002406,legal entity,,,
Air Products and Chemicals,678.3497760000001,0.0,0.0,0.0,0.0,E100000001132,legal entity,Inc,True,United States
Air Water,0.0,1032.5035,0.0,0.0,95676.0,E100000120035,legal entity,Inc,True,Japan
Ajaokuta Steel,0.0,0.0,0.0,0.0,130000.0,E100000002408,legal entity,Co Ltd,False,Nigeria
Ajinkya Investment & Trading,0.0,0.0,0.0,0.0,10913.670000000002,E100001016210,legal entity,Co,False,India
Akkök Holding,964.8000000000001,2144.0,0.0,0.0,0.0,E100001011231,legal entity,AŞ,False,Türkiye
Aksa Akrilik Kimya Sanayii,964.8000000000001,2144.0,0.0,0.0,0.0,E100000002409,legal entity,AŞ,True,Türkiye
Aksa Enerji Uretim,48457.29,5670.0,0.0,37.800000000000004,0.0,E100000002411,legal entity,AŞ,True,Türkiye
Aksaf Power,13.86,0.0,0.0,0.0,0.0,E100001011871,legal entity,Ltd,False,
Aksu Investment Construction Group,0.0,411.84000000000003,0.0,0.0,0.0,E100000123442,legal entity,Co Ltd,,China
Aksu Korong XingMao Energy,0.0,7800.0,0.0,0.0,0.0,E100000123093,legal entity,Co Ltd,,China
Aktobe Generatsiya,0.0,0.0,0.0,0.0,66500.0,E100001012067,legal entity,LLC,,Kazakhstan
Akwa Ibom Investment Corp,68900.0,0.0,0.0,0.0,0.0,E100000000751,legal entity,Corp,,Nigeria
Akzo Nobel,69800.0,0.0,0.0,0.0,0.0,E100000000735,legal entity,NV,True,Netherlands
Akzo Nobel Nederland,15000.0,0.0,0.0,0.0,0.0,E100000001373,legal entity,BV,False,Netherlands
Al Batinah Power Company,12363.24,0.0,0.0,0.0,0.0,E100000002412,legal entity,SAOG,True,Oman
Al Ezz Dekheila Steel Company Alexandria,0.0,0.0,0.0,0.0,121600.0,E100000130693,legal entity,SAE,True,Egypt
Al Ezzel Power Company,7066.4130000000005,0.0,0.0,0.0,0.0,E100000002413,legal entity,BSC,False,Bahrain
Al Ittefaq Steel Products,0.0,0.0,0.0,0.0,220000.0,E100000130833,legal entity,Co,False,Saudi Arabia
Al Jomaih Power,97811.20000000001,0.0,0.0,0.0,0.0,E100000000883,legal entity,Ltd,,Saudi Arabia
Al Qaryan Group,0.0,0.0,0.0,0.0,12500.0,E100001013045,legal entity,,False,Saudi Arabia
Al Qaryan Steel,0.0,0.0,0.0,0.0,12500.0,E100001013044,legal entity,Co,False,Saudi Arabia
Al Raeda Energy,22007.607646049997,0.0,0.0,0.0,0.0,E100001010599,legal entity,,False,Jordan
Al Rajhi Ekhwan Group,936.0,0.0,0.0,0.0,0.0,E100001011144,legal entity,,False,Saudi Arabia
Al Rusail Power Company,18598.14,0.0,0.0,0.0,0.0,E100000003915,legal entity,SAOC,False,Oman
Al Suwadi Power Company,13887.58,0.0,0.0,0.0,0.0,E100000002415,legal entity,SAOG,True,Oman
Al Wabel for Trading and Industry,0.0,0.0,0.0,0.0,12500.0,E100001016338,legal entity,,,Saudi Arabia
Al-Mirqab Capital,0.0,67320.0,0.0,0.0,0.0,E100000120042,legal entity,Co,False,Qatar
Al-Mourjan for Electricity Production,7136.1675,0.0,0.0,0.0,0.0,E100000002417,legal entity,Co,False,Saudi Arabia
Al-Zamil & Brothers,9375.0,0.0,0.0,0.0,0.0,E100000001374,legal entity,Co,,
Alabama Power,656134.0,443581.0,0.0,0.0,0.0,E100000186234,legal entity,,,
Alabama Power,656134.0,443581.0,0.0,0.0,0.0,E100000002418,legal entity,Co,False,United States
Alabama River Cellulose,0.0,0.0,4446.0,0.0,0.0,E100001000423,legal entity,LLC,False,United States
Alaoji Generation,35600.0,0.0,0.0,0.0,0.0,E100000002419,legal entity,Co Ltd,,
Alar Tongzhong State-owned Capital Investment Operation (Group),0.0,7254.976064,0.0,0.0,0.0,E100000124681,legal entity,Co Ltd,,China
Alar Xinxin State Owned Capital Investment and Operation (Group),0.0,7254.976064,0.0,0.0,0.0,E100000124682,legal entity,Co Ltd,,China
Alarko Energy group,8200.0,0.0,0.0,0.0,0.0,E100000001048,legal entity,,,Türkiye
