from,to,share
E100001011086,E100001000480,100.0
E100001010523,E100001011087,15.03
E100001010523,E100001011088,20.0
E100001010523,E100001011086,43.79
E100001011778,E100001011779,100.0
E100000002425,E100000000484,100.0
E100000003944,E100000001226,100.0
E100000004168,E100000000875,100.0
E100000003967,E100000000878,100.0
E100000002501,E100000000538,100.0
E100000000538,E100001000084,100.0
E100000002057,E100001000370,100.0
E100000002872,E100000000339,100.0
E100000002982,E100000000137,100.0
E100000003220,E100000004166,100.0
E100001011942,E100001011945,
E100001011945,E100001015106,
E100000002388,E100000000557,100.0
E100000002968,E100000002969,100.0
E100001011103,E100001011104,39.78
E100001011103,E100001011105,13.87
E100000002363,E100000001394,
E100000001029,E100000001035,47.27
E100000002134,E100000001035,45.03
E100000001029,E100000002134,10.0
E100000001029,E100001011053,10.0
E100000001029,E100001011054,7.96
E100001011053,E100000001035,45.18
E100001011053,E100001010887,7.64
E100000001035,E100001015587,36.73
E100000001035,E100001015691,6.08
E100000001035,E100001015692,6.08
E100000001035,E100001015689,51.11
E100000001029,E100001015587,24.76
E100000002129,E100001000153,100.0
E100000003939,E100000001025,
E100000003939,E100000000732,
E100000003939,E100000001037,
E100000001863,E100000000354,100.0
E100000002130,E100000002129,25.41
E100000002130,E100001011114,23.94
E100000002130,E100001010887,6.4
E100000002130,E100001011115,5.54
E100000123228,E100001000472,51.0
E100000123228,E100000123746,49.0
E100000123746,E100000124626,90.0
E100000123746,E100000125520,10.0
E100000123229,E100001000472,25.16
E100000123229,E100000123274,23.84
E100000123229,E100000123228,51.0
E100000123274,E100001000472,100.0
E100000003864,E100000000622,94.0
E100000003864,E100000000108,6.0
E100000001465,E100001000154,55.0
E100000000602,E100001000108,25.0
E100000000602,E100001000109,25.0
E100000001465,E100000000602,43.71
E100000001465,E100001015587,1.29
E100000000602,E100001015587,50.0
E100000002882,E100000004303,99.19
E100000004303,E100001000204,100.0
E100000002415,E100001000952,10.74
E100000002415,E100001000954,7.15
E100000002415,E100001000953,7.15
E100000002415,E100001000955,6.52
E100000002415,E100001000956,6.11
E100000002415,E100001000821,14.3
E100000002415,E100001000915,29.9
E100000002415,E100001015587,18.13
E100000003932,E100001000963,99.99
E100000002364,E100000000882,41.9
E100000002364,E100001010616,
E100000002364,E100000000778,
E100000002382,E100000000014,100.0
E100000000014,E100001010787,10.41
E100000000014,E100001010427,15.72
E100000000014,E100001010428,11.29
E100000000014,E100001010429,8.87
E100000000014,E100001015587,48.48
E100001010427,E100001016390,100.0
E100001010429,E100001016380,
E100000000014,E100000123261,0.23
E100000001534,E100001010595,9.42
E100000001534,E100001000348,6.7
E100001010428,E100000001534,100.0
E100000000014,E100001010595,5.0
E100000004310,E100000000382,33.1
E100000004310,E100000000460,66.9
E100000002328,E100000001642,100.0
E100000004153,E100000002328,100.0
E100000004078,E100000001198,100.0
E100000000654,E100001015587,100.0
E100000001213,E100001010595,8.56
E100000001213,E100001015833,5.02
E100000001213,E100001015587,86.42
E100000002418,E100000001309,100.0
E100000002506,E100000000741,100.0
E100000000395,E100001000348,5.14
E100000002490,E100000000395,100.0
E100001011873,E100000001233,100.0
E100000001965,E100000003324,100.0
E100000003324,E100001000278,100.0
E100000002601,E100000001870,100.0
E100000003992,E100000000551,100.0
E100000002508,E100000001158,100.0
E100000001158,E100001000348,6.5
E100000001158,E100001010595,8.86
E100000003777,E100000001256,100.0
E100000001332,E100001000281,100.0
E100001010521,E100001011137,100.0
E100000002509,E100000001221,50.0
E100000002509,E100000000809,50.0
E100000001221,E100000001158,
E100000003007,E100000000815,100.0
E100000000815,E100001010712,9.74
E100000000815,E100001010711,41.61
E100001012014,E100001012015,100.0
E100000003983,E100000001134,100.0
E100000002236,E100000002236,100.0
E100000001370,E100000001205,100.0
E100000003756,E100000000939,100.0
E100001011092,E100001011093,99.99
E100000002359,E100000000817,100.0
E100001011235,E100001011236,
E100000002511,E100000000874,28.57
E100000002511,E100000000610,20.0
E100000002511,E100000000745,
E100000002511,E100000000694,
E100000002511,E100000001173,
E100000000610,E100001013560,27.73
E100000000874,E100000121185,40.4
E100000000874,E100001015988,19.75
E100000000874,E100001015989,18.46
E100001013560,E100001016677,82.77
E100000000610,E100001015587,72.27
E100001015989,E100001000330,
E100000000874,E100001015991,10.7
E100000000874,E100001015992,9.6
E100000000874,E100001015587,1.09
E100001015991,E100001016771,100.0
E100001015991,E100001015587,0.0
E100000001717,E100000000387,100.0
E100000002512,E100000001068,100.0
E100000002513,E100000001143,100.0
E100000002405,E100000000375,100.0
E100000002514,E100000001163,100.0
E100000002515,E100000001267,100.0
E100000001267,E100001010596,5.75
E100000001267,E100001010595,9.68
E100000001267,E100001000348,7.4
E100000002516,E100000001170,100.0
E100000001170,E100001000751,100.0
E100000000136,E100001015800,9.18
E100000000136,E100001015587,
E100000004306,E100000001193,100.0
E100000001193,E100001010595,10.55
E100000001193,E100001010596,5.73
E100000001193,E100001000348,7.0
