census_tract_2010_id,county_name,state_territory,percent_black_or_african_american_alone,percent_american_indian___alaska_native,percent_asian,percent_native_hawaiian_or_pacific,percent_two_or_more_races,percent_white,percent_hispanic_or_latino,percent_other_races,percent_age_under_10,percent_age_10_to_64,percent_age_over_64,total_threshold_criteria_exceeded,total_categories_exceeded,identified_as_disadvantaged_without_considering_neighbors,identified_as_disadvantaged_based_on_neighbors_and_relaxed_low_income_threshold_only,identified_as_disadvantaged,total_population,adjusted_percent_of_individuals_below_200pct_federal_poverty_line_percentile,adjusted_percent_of_individuals_below_200pct_federal_poverty_line,is_low_income,expected_agricultural_loss_rate_natural_hazards_risk_index,expected_building_loss_rate_natural_hazards_risk_index,expected_population_loss_rate_natural_hazards_risk_index,share_of_properties_at_risk_of_fire_in_30_years,energy_burden,housing_burden_percent,median_value_usd_of_owner-occupied_housing_units,share_of_the_tract's_land_area_that_is_covered_by_impervious_surface_or_cropland_as_a_percent,share_of_the_tract's_land_area_that_is_covered_by_impervious_surface_or_cropland_as_a_percent_percentile,does_the_tract_have_at_least_35_acres_in_it,current_asthma_among_adults_aged_greater_than_or_equal_to_18_years,diagnosed_diabetes_among_adults_aged_greater_than_or_equal_to_18_years,coronary_heart_disease_among_adults_aged_greater_than_or_equal_to_18_years,life_expectancy_years,unemployment_percent,percent_of_individuals_below_200pct_federal_poverty_line,percent_of_individuals_below_100pct_federal_poverty_line
6001405600,Alameda County,California,0.18,0.02,0.22,0.0,0.06,0.26,0.24,0.09,0.07,0.82,0.09,0,0.0,False,False,False,3269.0,0.46,0.21,False,0.0,0.0006,0.0,0.0,1.0,29.0,563200.0,6879.0,88.0,True,890.0,960.0,390.0,78.2,6.0,29.0,10.0
6001405700,Alameda County,California,0.21,0.0,0.46,0.0,0.06,0.14,0.13,0.08,0.06,0.84,0.08,0,0.0,False,False,False,3531.0,0.64,0.3,False,0.0,0.0005,0.0,0.0,1.0,40.0,484900.0,7079.0,89.0,True,980.0,1140.0,459.0,76.4,8.0,41.0,20.0
6001405800,Alameda County,California,0.22,0.02,0.42,0.0,0.02,0.15,0.17,0.05,0.11,0.77,0.11,5,3.0,True,False,True,4370.0,0.77,0.39,True,0.0,0.0005,0.0,0.0,2.0,46.0,463300.0,6773.0,87.0,True,940.0,1380.0,550.0,76.59,6.0,50.0,27.0
6001405901,Alameda County,California,0.16,0.01,0.36,0.0,0.01,0.03,0.41,0.25,0.15,0.75,0.08,8,4.0,True,True,True,4426.0,0.87,0.48,True,0.0,0.0005,0.0,0.0,3.0,56.0,434000.0,7526.0,92.0,True,950.0,1340.0,540.0,77.9,7.0,54.0,28.0
6001405902,Alameda County,California,0.12,0.0,0.49,0.0,0.05,0.08,0.25,0.18,0.1,0.76,0.13,5,3.0,True,False,True,2942.0,0.7,0.34,True,0.0,0.0005,0.0,0.0,2.0,47.0,533900.0,7092.0,89.0,True,880.0,1320.0,540.0,77.7,11.0,46.0,23.0
6001406000,Alameda County,California,0.13,0.0,0.41,0.0,0.02,0.18,0.23,0.11,0.05,0.8,0.14,9,6.0,True,False,True,3796.0,0.72,0.35,True,0.0,0.0011,0.0,0.0,1.0,34.0,571400.0,7045.0,89.0,True,900.0,1380.0,600.0,77.9,13.0,50.0,19.0
6001406100,Alameda County,California,0.09,0.03,0.18,0.0,0.01,0.14,0.57,0.31,0.1,0.77,0.11,10,6.0,True,False,True,4733.0,0.78,0.4,True,0.0,0.0006,0.0,0.0,1.0,47.0,565500.0,8135.0,95.0,True,990.0,1170.0,509.0,76.2,6.0,51.0,27.0
6001406201,Alameda County,California,0.21,0.01,0.28,0.0,0.03,0.05,0.41,0.33,0.15,0.77,0.06,6,3.0,True,True,True,4995.0,0.83,0.45,True,0.0,0.0005,0.0,0.0,2.0,48.0,531500.0,7549.0,92.0,True,940.0,1150.0,450.0,75.3,8.0,56.0,25.0
6001406202,Alameda County,California,0.14,0.06,0.12,0.0,0.03,0.09,0.59,0.3,0.15,0.74,0.09,6,3.0,True,True,True,4817.0,0.85,0.47,True,0.0,0.0011,0.0,0.0,1.0,45.0,538000.0,7580.0,92.0,True,960.0,1240.0,540.0,77.4,5.0,55.0,33.0
6001406300,Alameda County,California,0.26,0.0,0.24,0.0,0.07,0.12,0.33,0.18,0.15,0.76,0.08,2,1.0,True,False,True,4383.0,0.62,0.29,False,0.0,0.001,0.0,0.0,1.0,37.0,453500.0,6706.0,86.0,True,950.0,1280.0,530.0,82.3,8.0,43.0,27.0
